IBM,JPM,GE
98.5,86.625,133.625
96.75,84.5,129.6759
95.875,83.625,132.8758
94.438,83.875,132.5
92.75,86.125,133.188
90.5,86.313,133.813
95.063,84.313,134.563
94.625,82.063,132.625
97.5,80.813,134.0
96.0,82.563,135.438
96.0,84.063,135.25
94.625,83.375,135.875
94.875,85.063,138.688
94.0,82.375,140.0
99.0,83.5,139.5
105.5,82.5,137.813
108.813,81.875,139.625
105.0,79.75,137.625
105.938,80.875,136.625
104.938,78.813,135.0
103.688,76.625,131.75
102.563,77.125,130.25
103.4396,78.0,136.125
109.813,80.938,135.688
113.0,82.0,136.313
117.0,78.5,138.5
116.25,78.3776,138.5
120.5,78.0,144.25
111.625,79.625,143.563
108.125,78.125,147.125
110.188,78.063,149.0
107.75,76.563,149.875
108.0087,76.188,146.125
110.688,73.25,147.75
109.063,73.375,153.8709
108.5073,72.375,153.688
109.875,75.0,158.375
109.125,76.25,158.875
109.6909,77.5,157.75
109.5636,76.688,158.438
110.438,77.188,158.0
109.688,77.563,157.25
109.188,78.0,154.75
112.438,74.75,153.0
114.0,70.625,147.25
112.938,70.25,143.75
118.0,70.125,143.125
117.25,72.625,148.0
117.2402,72.75,152.6949
117.8703,70.0,151.0
119.625,69.688,151.063
119.9375,71.125,153.125
120.938,73.938,153.375
119.688,73.938,149.625
115.563,72.25,146.5
123.0,75.375,149.063
121.875,73.875,147.938
121.875,74.375,145.313
116.75,73.0,138.063
119.063,75.375,140.5
118.0,79.438,141.563
112.75,79.563,140.313
111.375,76.813,134.0
112.375,82.438,134.25
112.0,83.0,137.125
115.0,83.5,135.938
118.188,82.5,141.0
116.0,82.188,141.688
116.938,84.063,136.563
119.0,84.938,137.0
117.688,83.125,134.563
119.063,83.25,135.063
116.0,82.25,133.75
115.8729,80.063,134.0
116.5,81.0026,136.625
116.5,80.625,134.875
115.25,78.063,131.0
112.0,76.0,126.25
110.5,77.375,130.0
108.813,77.25,130.313
109.875,76.625,129.5
104.625,76.75,126.0
105.563,77.688,130.625
102.0,79.875,133.5
100.5,80.5,131.375
107.25,82.0,137.25
109.938,82.938,139.5
105.9977,83.438,137.375
103.0,80.75,130.25
106.5,78.75,130.3127
107.625,80.0,130.875
104.0,77.625,129.0
107.75,80.5,129.625
107.5,77.875,126.8776
109.0,84.938,133.688
108.25,89.25,138.125
110.0,90.0,139.875
112.813,86.438,138.75
114.495,90.6267,150.5
